Trophoniella hephaistos,シモダヨロイハボウキ
Leocratides kimuraorum,キムラハナカゴオトヒメゴカイ
Asteriomyzostomum hercules,カンムリヒトデスイクチムシ
Asteriomyzostomum jinshou,ウデナガゴカクヒトデスイクチムシ
Asteriomyzostomum monroeae,ヒメヒトデスイクチムシ
Diplocirrus asamushiensis,アサムシコンボウハボウキ
Diplocirrus imajimai,イマジマコンボウハボウキ
Diplocirrus mamoi,マモコンボウハボウキ
Diplocirrus ohtsukai,オオツカコンボウハボウキ
Diplocirrus seisuiae,セイスイコンボウハボウキ
Diplocirrus tohokuensis,トウホクコンボウハボウキ
Diplocirrus toyoshioae,トヨシオコンボウハボウキ
Flabegraviera fujiae,フジキブクレハボウキ
Bathykermadeca thanatos,ゲイコツシニガミウロコムシ
Benthoscolex seisuiae,セイスイミツオネウミケムシ
Elisesione imajimai,ノウメンオトヒメゴカイ
Lamispina ammophila,スナササノハハボウキ
Ophryotrocha urbis,ナミウチコモチコイソメ
Osedax braziliensis,ブラジルホネクイハナムシ
Polyodontes kuroshio,クロブチボウセキウロコムシ
Spathochaeta octopodis,タコヤドリゴカイ
Actaedrilus yanbarensis,チビクマノアシツキ
Endovermis seisuiae,セイスイヤドリサシバゴカイ
Fauveliopsis antri,ドウクツヤドカリイモムシゴカイ 
Lacydonia japonica,ヤマトラキドニア
Lamispina miurai,ミウラササノハハボウキ
Laubieriopsis soyoae,ソウヨウスベイモムシゴカイ
Branchamphinome kohtsukai,コウツカエラウミケムシ
Eunoe issunboushi,イッスンボウシウロコムシ
Thoracophelia minuta,スナツブオフェリア
Lacydonia shohoensis,ショウホラキドニア
Ramisyllis kingghidorahi,キングギドラシリス
Ctenodrilus japonicus,ニホンクシイトゴカイ
Raphidrilus misakiensis,ミサキエラクシイトゴカイ
Raphidrilus okinawaensis,オキナワエラクシイトゴカイ
Raricirrus anubis,ハカモリクシイトゴカイ
Flabelligera japonica,カンテンハボウキ
Flabelligera kaimeiae,カイメイカンテンハボウキ
Flabelligera kajiharai,カジハラカンテンハボウキ
Flabelligera kozaensis,コザカンテンハボウキ
Flabelligera sekii,セキカンテンハボウキ
Branchinotogluma nikkoensis,ニッコウツノダシウロコムシ
Branchinotogluma sagamiensis,サガミツノダシウロコムシ
